bin,center,count,tp,tn,fp,fn,precision,recall,f1
"[90, 90)",89.99999980701939,2,1,1,0,0,1.0,1.0,1.0
"[90, 90)",89.99999981691583,2,1,1,0,0,1.0,1.0,1.0
"[90, 90)",89.99999982681227,2,1,1,0,0,1.0,1.0,1.0
"[90, 90)",89.99999983670871,6,3,2,1,0,0.75,1.0,0.8571428571428571
"[90, 90)",89.99999984660515,38,16,16,3,3,0.8421052631578947,0.8421052631578947,0.8421052631578947
"[90, 90)",89.99999985650159,42,18,16,5,3,0.782608695652174,0.8571428571428571,0.8181818181818182
"[90, 90)",89.99999986639803,60,23,24,6,7,0.7931034482758621,0.7666666666666667,0.7796610169491527
"[90, 90)",89.99999987629447,94,37,37,10,10,0.7872340425531915,0.7872340425531915,0.7872340425531915
"[90, 90)",89.9999998861909,114,47,48,9,10,0.8392857142857143,0.8245614035087719,0.8318584070796461
"[90, 90)",89.99999989608733,188,75,83,11,19,0.872093023255814,0.7978723404255319,0.8333333333333334
"[90, 90)",89.99999990598377,254,109,103,24,18,0.8195488721804511,0.8582677165354331,0.8384615384615385
"[90, 90)",89.99999991588021,374,158,165,22,29,0.8777777777777778,0.8449197860962567,0.8610354223433243
"[90, 90)",89.99999992577665,534,226,223,44,41,0.837037037037037,0.846441947565543,0.8417132216014898
"[90, 90)",89.99999993567309,800,346,324,76,54,0.8199052132701422,0.865,0.8418491484184916
"[90, 90)",89.99999994556953,1134,464,480,87,103,0.8421052631578947,0.818342151675485,0.8300536672629696
"[90, 90)",89.99999995546597,1952,800,825,151,176,0.8412197686645636,0.819672131147541,0.8303061754021795
"[90, 90)",89.9999999653624,3536,1455,1486,282,313,0.8376511226252159,0.8229638009049773,0.8302425106990015
"[90, 90)",89.99999997525885,7706,3091,3283,570,762,0.8443048347446053,0.8022320269919543,0.8227309023156772
"[90, 90)",89.99999998515528,22532,8957,9561,1705,2309,0.840086287750891,0.795047044203799,0.8169463699379789
"[90, 90)",89.99999999505172,114914,38421,48555,8902,19036,0.8118885108720918,0.6686913691978349,0.7333651460202328
